question,table,llm_answer,true_answer,correctness
for how many consecutive years did oulu airport see an increase in total passengers?,"Year Domestic passengers International passengers Total passengers Change
2006             764,831                   83,115          847,946  +4.6%
2007             764,674                   75,276          839,950  −0.9%
2008             709,779                   92,176          801,955  −4.5%","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...",3,wrong
"how many games had at least an 50,000 or more people in attendance?","Week               Date             Opponent  Result Attendance
   1 September 15, 1968 at Green Bay Packers L 30–13     50,861
   2 September 22, 1968      New York Giants L 34–25     60,858
   3 September 29, 1968       Dallas Cowboys L 45–13     60,858","SKIPPED: There were 12 games with an attendance of 50,000 or more people.",12,wrong
graphstream and egonet can be on any platform that supports what?,"     Product                                Main Functionality                                                                                                                                                                                                                          Input Format                                            Output Format                                  Platform                         License and cost                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Notes
AllegroGraph Graph Database. RDF with Gruff visualization tool                                                                                                                                                                                                                                   RDF                                                      RDF                       Linux, Mac, Windows                      Free and Commercial                                                                                                                                                                                                                                                                                                                                                                AllegroGraph is a graph database. It is disk-based, fully transactional OLTP database that stores data structured in graphs rather than in tables. AllegroGraph includes a Social Networking Analytics library.
      EgoNet                      Ego-centric network analysis                                                                                                                                                                                       Conducts interviews or takes any valid XML file Output to CSV and convertible to almost any other format                Any system supporting Java        Open Source, seeking contributors                                                                                                                                                                                                                                                                       Egonet is a program for the collection and analysis of egocentric network data. Egonet contains facilities to assist in creating the questionnaire, collecting the data and providing general global network measures and data matrixes that can be used in further analysis by other software programs.
       Gephi       Graph exploration and manipulation software GraphViz(.dot), Graphlet(.gml), GUESS(.gdf), LEDA(.gml), NetworkX(.graphml, .net), NodeXL(.graphml, .net), Pajek(.net, .gml), Sonivis(.graphml), Tulip(.tlp, .dot), UCINET(.dl), yEd(.gml), Gephi (.gexf), Edge list(.csv), databases                    GUESS(.gdf), Gephi(.gexf), .svg, .png Any system supporting Java 1.6 and OpenGL Open Source (GPL3), seeking contributors Gephiis an interactive visualization and exploration platform for all kinds of networks and complex systems, dynamic and hierarchical graphs. It is a tool for people that have to explore and understand graphs. The user interacts with the representation, manipulate the structures, shapes and colors to reveal hidden properties. It uses a 3D render engine to display large networks in real-time and to speed up the exploration. A flexible and multi-task architecture brings new possibilities to work with complex data sets and produce valuable visual results.",SKIPPED: They can run on any platform that supports Java.,Any system supporting Java,correct
which camp is the least amount on mar.30,"                                           Camp Div Sec\nDivision Admin\nDistrict 9 Feb 11 Feb 16 Feb 25 Feb 27 Feb 2 Mar 4 Mar 6 Mar 11 Mar 13 Mar 24 Mar 30 Mar 31 Mar
       Menik Farm Zone 0\n(Kathirkamar Village) Vengalachedikulam             VAV               1,353  2,768  2,791 2,791 3,344 4,212  4,679  4,679  6,459  6,459  6,459
     Menik Farm Zone 3\n(Arunachchalam Village) Vengalachedikulam             VAV                                                                    6,729 11,881 11,881
Ariviththodam Sivanantha Vidyalayam, Menik Farm Vengalachedikulam             VAV   581    581    581    581    584   584   585   585    583    583    601    601    601","SKIPPED: On March 30, the camp with the smallest reported population was the Thampalakamam Peripheral Unit, with 35 people.",Thampalakamam Peripheral Unit,correct
which month is the best for someone who enjoys the rain?,"               Month          Jan           Feb          Mar          Apr          May           Jun          Jul          Aug          Sep          Oct          Nov           Dec        Year
 Record high °C (°F) 10.8\n(51.4)  10.7\n(51.3) 25.7\n(78.3) 29.2\n(84.6) 35.4\n(95.7) 38.3\n(100.9) 36.7\n(98.1)  40.0\n(104) 35.1\n(95.2)   27.8\n(82) 21.0\n(69.8)  12.9\n(55.2) 40.0\n(104)
Average high °C (°F) −8.5\n(16.7)  −6.2\n(20.8)  1.6\n(34.9) 11.6\n(52.9) 18.1\n(64.6)  22.1\n(71.8) 25.2\n(77.4) 24.6\n(76.3) 18.6\n(65.5) 10.8\n(51.4) −0.2\n(31.6)  −6.6\n(20.1) 9.3\n(48.7)
  Daily mean °C (°F) −14.5\n(5.9) −11.6\n(11.1) −4.1\n(24.6)  4.8\n(40.6) 11.0\n(51.8)  15.5\n(59.9) 18.1\n(64.6) 17.3\n(63.1) 11.6\n(52.9)  4.1\n(39.4) −5.2\n(22.6) −11.9\n(10.6) 4.9\n(40.8)","SKIPPED: Based on the “Rainfall mm (inches)” row, June has the highest average monthly rainfall (67.0 mm), making it the best month for someone who enjoys the rain.",June,correct
what title is at the top of the table?,"#                Title           TPB ISBN TPB Release date TPB page number Collected material
1 The Name of the Game ISBN 91-33-30546-3       June, 2007             152      The Boys #1-6
2             Get Some ISBN 1-933305-68-1      March, 2008             192     The Boys #7–14
3    Good for the Soul ISBN 1-933305-92-4    October, 2008             192    The Boys #15-22",SKIPPED: The title at the top of the table is “The Name of the Game.”,The Name of the Game,correct
which is the only track under two minutes?,"#       Title                   Producer(s) Featured guest(s) Length
1     ""Intro""        Swizzo (of Drum Squad)                     1:41
2 ""Interlude"" Crown Kingz Productions (CKP)                     2:22
3  ""Dem Boyz""                         Nitti          P. Diddy   4:16","SKIPPED: ""Intro"" is the only track whose runtime is under two minutes.","""Intro""",correct
who was next in total assists after paul parry?,"Place Position Number             Name League One FA Cup League Cup Football League Trophy Total
    1       MF      4 Luke Summerfield          5      0          0                      0     5
    2       MF     17       Paul Parry          3      0          1                      0     4
    3       FW     24        Tom Eaves          3      0          0                      0     3","SKIPPED: After Paul Parry, the next player in total assists was Tom Eaves.",Tom Eaves,correct
how many positions above did moltiva place in swe vs swi?,"Year            Title Peak chart positions\nSWE Peak chart positions\nSWI Peak chart positions\nUK         Album
2003   ""Znaj da znam""                         —                         —                        — Naj, Najbolja
2003  ""Naj, najbolja""                         —                         —                        — Naj, Najbolja
2003 ""Gorka čokolada""                         —                         —                        —   Bez Ljubavi","SKIPPED: “Molitva” charted better in Sweden than in Switzerland.  
It peaked 18 places higher on the Swedish chart (SWE) than on the Swiss chart (SWI).",10,wrong
how many french winners are listed?,"Stage    Date                   Route               Terrain         Length                  Winner
    P 29 June                  Leiden Individual time trial  5 km (3.1 mi)          Jan Raas (NED)
   1A 30 June  Leiden – St Willebrord           Plain stage 135 km (84 mi)          Jan Raas (NED)
   1B 30 June St Willebrord – Brussel           Plain stage 100 km (62 mi) Walter Planckaert (BEL)",SKIPPED: There are 4 different French winners listed in the table.,7,wrong
how many games were won in 1959?,"      Date            Opponent# Rank#                      Site  Result Attendance
1959-09-26 at #16 Georgia Tech*    #6 Grant Field • Atlanta, GA L 12-16     43,000
1959-10-03            #15 Navy*        Cotton Bowl • Dallas, TX  W 20-7     46,000
1959-10-09            Missouri*   #15  Cotton Bowl • Dallas, TX  W 23-2     33,000",SKIPPED: There were 5 games won in the 1959 season.,5 games,correct
how many goals did elvir baljic score altogether against estonia?,"Goal            Date                                  Venue      Opponent Score Result               Competition
  1.  12 August 1998 Asim Ferhatović Hase Stadium, Sarajevo Faroe Islands   1–0    1–0 UEFA Euro 2000 qualifying
  2. 14 October 1998              Žalgiris Stadium, Vilnius     Lithuania   2–2    2–4 UEFA Euro 2000 qualifying
  3.  9 October 1999              Kadriorg Stadium, Tallinn       Estonia   1–1    4–1 UEFA Euro 2000 qualifying",SKIPPED: Elvir Baljić scored a total of 4 goals against Estonia.,10,wrong
"name a player whose ""to"" date is in march and ""from"" date is in january.","        Date from          Date to Pos.            Name        From
    3 August 2012  31 January 2013   FW     Benik Afobe     Arsenal
   31 August 2012     30 June 2013   MF    Jay Spearing   Liverpool
21 September 2012 22 December 2012   DF Stephen Warnock Aston Villa",SKIPPED: Steve De Ridder,Steve De Ridder,correct
what was the last year this team played in the league?,"Year Division  League    Regular Season              Playoffs        Open Cup
2002        4 USL PDL 3rd, Mid Atlantic       Did not qualify Did not qualify
2003        4 USL PDL 1st, Mid Atlantic Conference Semifinals Did not qualify
2004        4 USL PDL 3rd, Mid Atlantic       Did not qualify Did not qualify",SKIPPED: The last year this team played in the league was 2008.,2008,correct
the mercedes championships and sony open in hawaii are located in what state?,"  Date                Tournament   Location              Winner     Score 1st prize ($)
 Jan 6    Mercedes Championships     Hawaii   Sergio García (3) 274 (–18)       720,000
Jan 14       Sony Open in Hawaii     Hawaii     Jerry Kelly (1) 266 (–14)       720,000
Jan 20 Bob Hope Chrysler Classic California Phil Mickelson (20) 330 (–30)       720,000",SKIPPED: Both the Mercedes Championships and the Sony Open in Hawaii are located in the state of Hawaii.,Hawaii,correct
how many matches were in 2005-2006?," Season            Competition Round          Opponent Home Away Agg.
1964–65 Inter-Cities Fairs Cup    R1           Everton  2–5  2–4  4–9
1965–66 Inter-Cities Fairs Cup    R2            Hearts  1–3  0–1  1–4
1966–67           European Cup    R1 17 Nëntori Tirana  N/A  N/A  Bye",SKIPPED: There were 3 matches in the 2005–2006 season.,3,correct
"which stadium can hold more people than ballymena showgrounds, but less than windsor park?"," #               Stadium Capacity      City                                Home team
 1          Windsor Park   24,734   Belfast Linfield, Northern Ireland national team
 2              The Oval   15,000   Belfast                                Glentoran
3= Ballymena Showgrounds    8,000 Ballymena                         Ballymena United","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...",The Oval,wrong
"count the number of schools with ""cy"" governments.","        Name Faith    Type Gov Opened Intake DCSF number Ofsted number Web                                 Coordinates
    Ashfield     –  Junior  VC   1845     60        3012        117391   W 51°38′22″N 0°21′26″W﻿ / ﻿51.6394°N 0.3571°W
  Bournehall     – Primary  CY   1969     30        2360        117296   W 51°39′00″N 0°21′37″W﻿ / ﻿51.6499°N 0.3604°W
Bushey Heath     – Primary  CY   1879     30        2012        117088   W 51°38′12″N 0°20′29″W﻿ / ﻿51.6368°N 0.3413°W",SKIPPED: There are 8 schools whose government type is “CY”.,8,correct
how many venues did the league play during this particular season?,"        Team Location            Venue Capacity Position in 1993–94
Dinamo Minsk    Minsk    Dinamo, Minsk   41,040                   1
   Dinamo-93    Minsk    Dinamo, Minsk   41,040                   2
       Dvina  Vitebsk Central, Vitebsk    8,300                   3",SKIPPED: The league used 13 different venues during that season.,13,correct
what country has the least finals totals?,"Rank                Country   Winners Runners-up Finals Total
   1                  Spain        17          8           25
   2 Germany\n East Germany 11\n1\n12  10\n3\n13    21\n4\n25
   3  Soviet Union\n Russia   2\n1\n3    1\n0\n1      3\n1\n4","SKIPPED: The smallest finals total is 1, and seven countries share this minimum value: Bosnia & Herzegovina, Croatia, Czech Republic, Denmark, Romania, Serbia, and Switzerland.","Bosnia & Herzegovina, Croatia, Czech Republic, Denmark, Romania, Serbia, Switzerland",correct
what was the only year keene won class aa?,"School Year       Class A    Class AA     Class AAA    Class AAAA Class AAAAA
    1994-95        Menard Van Alstyne   Cameron Yoe Wichita Falls     Weslaco
    1995-96           Era     Coahoma Colorado City    Livingston Duncanville
    1996-97 Sulphur Bluff      Marion Colorado City        Snyder Duncanville",SKIPPED: Keene won Class AA only in the 1999-2000 school year.,1999-2000,wrong
which area has the river severn and the exmoor as two of the seven wonders?,"Rank                     Area   Date      Presenter                                                                                                                  Seven wonders covered
   1               South West  3 May Samantha Smith                                       Dartmoor, Jurassic Coast, St Michael's Mount, Exmoor, Isles of Scilly, The Lizard, Newquay Coast
   2 Yorkshire & Lincolnshire  9 May    Paul Hudson                          Malham Cove, the Three Peaks, Flamborough Head, Hornsea Mere, The Wash, Thorne and Hatfield Moors, Spurn Head
   3                   London 16 May     Bill Oddie Islands in the River Thames, the London Plane, City Gardens, Hampstead Heath, London Wetland Centre, Epping Forest, Chislehurst Caves.",SKIPPED: The area is “The West Country.”,The West Country,wrong
what is the total number of known vassal states in which their reigning years are known?,"State      Type   Name   Title Royal house   From     To
  Chu Sovereign   Huai    King          Mi 328 BC 299 BC
  Han Sovereign  Xiang Marquis           — 311 BC 296 BC
   Lu Sovereign Wen II    Duke          Ji 302 BC 280 BC",SKIPPED: 0 – the dataset contains no entries marked as vassal states with known reigning years.,10,wrong
how many more silver medals did the united states win compared to russia?,"Rank        Nation Gold Silver Bronze Total
   1 United States   12     13      6    31
   2        Russia   10      5      6    21
   3     Australia    8     12      6    26",SKIPPED: The United States won 8 more silver medals than Russia.,8,wrong
is ireland before greece in regards of amount of points?,"Draw Country Language         Artist                         Song English translation Place Points
  01   Spain  Spanish Serafín Zubiri     ""Todo esto es la música""   All this is music    14     37
  02 Belgium   French        Morgane  ""Nous, on veut des violons""     We want violins    20     11
  03  Israel   Hebrew    Dafna Dekel ""Ze Rak Sport"" (זה רק ספורט)     It's just sport     6     85","SKIPPED: Yes.  
Ireland scored 155 points, which is higher than Greece’s 94 points, so Ireland is ahead of (before) Greece in terms of points.",yes,wrong
"which album was released after ""raw""?"," Release date          Album   Record label UK Albums Chart U.S. Billboard 200 Chart
    July 1983 The Alarm (EP) I.R.S. Records               -                      126
February 1984    Declaration I.R.S. Records               6                       50
 October 1985       Strength I.R.S. Records              18                       39",SKIPPED: The album released after “Raw” is “Eponymous 1981-1983.”,Eponymous 1981-1983 ¢,wrong
what was the show previous to music bank in 2009,"   Year                          Title   Hangul Network      Further Info
   2008 Pretty Boys: A Wrong Situation 꽃미남 아롱사태    Mnet                  
   2009  Let's Go Dream Team! Season 2  출발 드림팀2    KBS2      variety show
2009-10                     Music Bank     뮤직뱅크    KBS2 music show, as MC",SKIPPED: The show that preceded “Music Bank” in 2009 was “Let’s Go Dream Team! Season 2.”,Let's Go Dream Team! Season 2,wrong
what is the combined population of makeleketla and theunissen?,"       Place  Code Area (km2) Population Most spoken language
Beatrix Mine 40701       0.17      2,492                Sotho
   Boipatong 40702       0.31      1,501                Sotho
   Brandfort 40703       3.20      1,516            Afrikaans","SKIPPED: The combined population of Makeleketla and Theunissen is 8,296.",8296,wrong
how long did william r. poage serve in texas?,"  Representative       State District(s)    Served      Party     Date of birth    Date of death                Age
William R. Poage       Texas          11 1937–1978 Democratic December 29, 1899  January 3, 1987   87 years, 5 days
  Aubert C. Dunn Mississippi           5 1935–1937 Democratic November 20, 1896  January 4, 1987  90 years, 45 days
 Charles Goodell    New York      43, 38 1959–1968 Republican    March 16, 1926 January 21, 1987 60 years, 311 days",SKIPPED: William R. Poage represented Texas in the U.S. House for 41 years—from 1937 to 1978.,41,wrong
what are the number of times astm d 638 is listed as the test method?,"          Property Test method      units        4275       4301         4435        4630         4645
  Tensile Strength  ASTM D 638 MPa (kpsi)  117 (16.9) 113 (16.4)    94 (13.6)   81 (11.8)   114 (16.6)
   Tensile Modulus  ASTM D 638 GPa (kpsi) 8.8 (1,280)  6.8 (990) 14.5 (2,100) 7.4 (1,080) 18.6 (2,700)
Tensile Elongation  ASTM D 638          %         2.6        3.3          1.0         1.9          0.8","SKIPPED: ""ASTM D 638"" appears 3 times as the test method.",3,wrong
the least amount of points scored by phoenix during the season is...,"  Date    Opponent  Score Result Record
May 19 San Antonio  81-72    Win    1-0
May 23   @ Seattle 87-100   Loss    1-1
May 25     Houston 111-85    Win    2-1",SKIPPED: The lowest single-game point total Phoenix scored during the season was 67 points.,67,wrong
how many points did iowa score in the swimsuit round?,"   State Swimsuit Interview Evening Gown Average Finalists
    Iowa    9.267     9.651        9.620   9.513     9.800
Oklahoma    9.226     9.309        9.487   9.341     9.586
  Kansas    9.221     9.600        9.600   9.474     9.486",SKIPPED: Iowa scored 9.267 points in the swimsuit round.,9.267,wrong
how many more schools received a single-bye than schools that received a double-bye?,"Seed       School Conf (Overall)                    Tiebreaker
  #1 Georgetown‡†    14-4 (24-5)  2-1 vs. Louisville/Marquette
  #2 Louisville‡†    14-4 (26-5)  1-1 vs. Georgetown/Marquette
  #3  Marquette‡†    14-4 (23-7) 1-2 vs. Georgetown/Louisville",SKIPPED: There are 0 more schools with a single-bye than with a double-bye (both groups have 4 schools each).,2,wrong
how many candidates did not have a percentage in the september 8th poll?,"                                                 Poll source Date(s)\nadministered Sample\nsize Margin of\nerror Ed Burke Roland Burris Gery Chico Bill Daley Tom Dart Danny K. Davis Miguel Del Valle Rahm Emanuel Bob Fioretti Luis Gutiérrez Jim Houlihan Jesse Jackson, Jr. James Meeks Carol Moseley Braun Terry Peterson Patricia Van Pelt-Watkins William Walls Other Undecided
            McKeon & Associates / Chicago Sun-Times (report)     September 8, 2010          600           ± 4.3%        –             –         6%          –      12%              –                –           7%           3%             9%           3%                 8%         10%                   –             4%                         –             –    3%       35%
                                     We Ask America (report)        September 2010        2,365                ?    6.31%             –          –      8.16%   13.66%              –                –       29.68%        2.95%         12.81%        2.30%             13.36%       8.21%                   –          2.55%                         –             –     –         –
Chicago Teamsters Joint Council 25 / Anzalone Liszt (report)   November 8–14, 2010            ?           ± 3.7%        –             –        10%          –        –            14%               4%          36%            –              –            –                  –          7%                 13%              –                         –             –     –         –","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...",8,wrong
how many records does australia hold for pole vaulting?,"                Record       Athlete Nation          Venue        Date #
4.05 m (13 ft 31⁄4 in)    Sun Caiyun  China Nanjing, China 21 May 1992 1
4.08 m (13 ft 41⁄2 in)    Sun Caiyun  China Taiyuan, China 18 May 1995 2
4.08 m (13 ft 41⁄2 in) Zhong Guiqing  China Taiyuan, China 18 May 1995 1",SKIPPED: Australia holds 11 pole-vault world records in the dataset.,11,correct
in which party did the minister belong that held the longest term in office?,"                   Name      Took Office      Left Office                          Party
1      Vasso Papandreou 21 February 1996 19 February 1999 Panhellenic Socialist Movement
2   Evangelos Venizelos 19 February 1999    13 April 2000 Panhellenic Socialist Movement
3 Nikos Christodoulakis    13 April 2000  24 October 2001 Panhellenic Socialist Movement","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...",Panhellenic Socialist Movement,wrong
"how many movies was she in before ""vampire family""?","Year                   Title Chinese title       Role Notes
1992       To Miss with Love          逃學外傳 Lai Man-si      
1992          Super Lady Cop          超级女警       Yoki      
1992 Fight Back to School II         逃學威龍2      Sandy      ",SKIPPED: She had acted in 5 movies before appearing in “Vampire Family.”,6,wrong
what driver placed before ale figge?,"Pos No        Driver           Team Laps Time/Retired Grid Points
  1  5    Will Power Team Australia   73  1:45:58.568    7     31
  2 21     Neel Jani     PKV Racing   73       +2.972    9     28
  3  9 Justin Wilson        RSPORTS   73       +3.480    2     25",SKIPPED: Katherine Legge,Katherine Legge,correct
was clara the winner in 2012 or 2007?,"Year                      Winner   County                Opponent  County
2013        Rower-Inistioge 1-09 Kilkenny      Buffers Alley 0-10 Wexford
2012                  Clara 3-20 Kilkenny Oylegate/Glenbrien 0-05 Wexford
2011 Mount Leinster Rangers 1-13   Carlow          Celbridge 0-13 Kildare","SKIPPED: Clara were the winners in 2012, not in 2007.",2012,correct
after the ordway building which is the tallest?,"Rank               Name Height\nft (m) Floors Year                                       Coordinates                                                                                                                    Notes
   1    Ordway Building      404 (123)     28 1970 37°48′36″N 122°15′51″W﻿ / ﻿37.81000°N 122.26417°W Tallest building in both Oakland and in the Bay Area outside of San Francisco; tallest building constructed in the 1970s
   2      Kaiser Center      390 (119)     28 1960 37°48′32″N 122°15′52″W﻿ / ﻿37.80889°N 122.26444°W                                                                                Tallest building constructed in the 1960s
   3 Lake Merritt Plaza      371 (113)     27 1988 37°48′27″N 122°15′54″W﻿ / ﻿37.80750°N 122.26500°W                                                                                Tallest building constructed in the 1980s",SKIPPED: The tallest building after the Ordway Building is the Kaiser Center.,Kaiser Center,correct
name a year he placed at least 2nd in two competitions.,"Year                   Competition                  Venue  Position         Event Notes
1996    World Junior Championships      Sydney, Australia       8th         200 m 23.89
1996                 Olympic Games Atlanta, United States 11th (sf) 4x100 m relay 44.21
1997 European Junior Championships    Ljubljana, Slovenia       1st         100 m 11.39",SKIPPED: 1999,1999,correct
how many times did chuck thompson serve as a broadcaster?,"Season Network  Play-by-play          Color commentator(s) Sideline reporter(s)
  1969     CBS Jack Whitaker Frank Gifford and Don Perkins                     
  1968     CBS     Ray Scott                Paul Christman        Frank Glieber
  1967     CBS Frank Glieber                 Frank Gifford                     ",SKIPPED: Chuck Thompson served as a broadcaster 2 times in the dataset.,2,correct
braga had the same aggregated score as what other team in the round of 16?,"     Team 1 Agg.                 Team 2 1st leg 2nd leg
    Benfica  3–2    Paris Saint-Germain     2–1     1–1
Dynamo Kyiv  2–1        Manchester City     2–0     0–1
     Twente  3–2 Zenit Saint Petersburg     3–0     0–2",SKIPPED: Braga’s tie finished 1–0 on aggregate – the only other team with the same 1–0 aggregate score in the round of 16 was PSV Eindhoven.,PSV Eindhoven,correct
how many episodes had both an original air date and an english air date?,"No. Dub No.                                                                                     English dubbed title / English subbed title\nOriginal Japanese title Original air date   English air date
  1       1                            ""A Moon Star Is Born"" / ""Crybaby Usagi's Magnificent Transformation""\n""Nakimushi Usagi no karei naru henshin"" (泣き虫うさぎの華麗なる変身)     March 7, 1992 September 11, 1995
  2      --                              ""Punish Them! The House of Fortune is the Monster Mansion""\n""Oshioki yo! Uranai house wa yōma no yakata"" (おしおきよ!占いハウスは妖魔の館)    March 14, 1992                N/A
  3       2 ""Talk Radio"" / ""Mysterious Sleeping Illness, Protect the Girls' Hearts in Love""\n""Nazo no nemuribyō, mamore otome no koisuru kokoro"" (謎のねむり病, 守れ乙女の恋する心)    March 21, 1992 September 12, 1995",SKIPPED: There are 41 episodes that have both an original air date and an English air date.,41,correct
how many tracks have at least two performers?,"#               Title Producer(s)                Performer (s) Time
1 ""I See Dead People""         PHD Grand Puba, Lord Jamar, Rell 4:26
2             ""Hunny"" Grant Parks                   Grand Puba 4:04
3  ""It Is What It Is""         PHD    Grand Puba, Tiffani Davis 5:03",SKIPPED: There are 10 tracks that feature at least two performers.,10,correct
what is the total number of losses?,"        Date    Time          Opponent#                               Site  TV  Result Attendance
   August 29 7:30 PM Appalachian State* Groves Stadium • Winston-Salem, NC     W 19–13     21,129
 September 7 6:30 PM  #13 Northwestern* Groves Stadium • Winston-Salem, NC FSN W 28–27     21,749
September 14 7:00 PM    at Georgia Tech   Bobby Dodd Stadium • Atlanta, GA     L 10–30     45,750",SKIPPED: The total number of losses is 8.,8,correct
at least how many types are there?,"        Name Faith    Type Gov Opened Intake DCSF number Ofsted number Web                                 Coordinates
    Ashfield     –  Junior  VC   1845     60        3012        117391   W 51°38′22″N 0°21′26″W﻿ / ﻿51.6394°N 0.3571°W
  Bournehall     – Primary  CY   1969     30        2360        117296   W 51°39′00″N 0°21′37″W﻿ / ﻿51.6499°N 0.3604°W
Bushey Heath     – Primary  CY   1879     30        2012        117088   W 51°38′12″N 0°20′29″W﻿ / ﻿51.6368°N 0.3413°W",SKIPPED: There are at least 4 different “Type” categories present in the table.,4,correct
when was the last recorded wolf non-fatal wolf attack in the united states,"                               Victim(s)     Age Gender              Date Type of attack                                        Location                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Details            Source(s)
Daughter of a frontiersman named ""Baker""      18      ♀      Summer, 1881 Defending cows                      Northwestern Colorado, USA                                                                                                                                                                                                                                                                                                                                                        Encountered a wolf resting on a hill while on her way to bring in cows at dusk. The animal attacked her after she shouted and threw rocks to scare it away. It seized her by the shoulder, threw her to the ground, and badly bit her arms and legs before being shot by her brother. George Bird Grinnell
                             David Tobuk Toddler      ♂              1900      Predatory                      Koyukuk River, Alaska, USA                                                                                                                                                                                                                                                                                                                  In the 1920s, Tobuk was a Native Alaskan steamboat captain who bore severe scarring as a result of a wolf attack he had suffered as a toddler. He was playing along the riverbank when a wolf appeared out of some bushes, seized Tobuk by the head, lifted and ran off with him in its jaws, but was shot by a nearby man.                     
        Diamond Jenness, Arctic explorer              ♂ 1915, February 10      Agonistic Coppermine River, Northwest Territories, Canada Early in the morning, a female wolf entered the camp of an Arctic expedition and began fighting with the tethered sled dogs. Five men came out and tried to drive it away. The wolf charged at Diamond Jenness after he threw a rock and missed. Jenness grabbed the wolf by the back of the neck, but the wolf turned its head enough to severely bite his forearm. He choked the wolf with his other hand; it released, stepped back, and was shot by another man. The wound was treated and eventually fully healed, but Jenness never contracted rabies despite consistency of the wolf’s behavior with the early stages of the disease.                     ","SKIPPED: The most recent (last recorded) non-fatal wolf attack in the United States occurred on August 24, 2013 (around 4:30 AM) near Lake Winnibigoshish, Minnesota.","August 24, 2013",correct
the total number of losses at home.,"        Date    Time          Opponent# Rank#                                                              Site       TV  Result Attendance
 September 3 7:00 PM        Utah State*   #19 Rice–Eccles Stadium • Salt Lake City, UT (Battle of the Brothers) The mtn. W 35–17     45,333
September 12 8:30 PM at San Jose State*   #17                                    Spartan Stadium • San José, CA    ESPNU W 24–14     23,684
September 19 1:30 PM         at Oregon*   #18                                       Autzen Stadium • Eugene, OR     ESPN L 24–31     58,017",SKIPPED: 0,0,correct
what was the hydro power availability in 2011?,"                  2000  2001  2002  2003  2004  2005  2006  2007  2008  2009  2010  2011  2012
     Hydro power 1,150 1,161 1,171 1,247 1,281 1,293 1,316 1,326 1,357 1,379 1,382 1,401 1,584
         Thermal   685   835 1,056 1,233 1,215 1,155 1,155 1,155 1,285 1,290 1,390 1,690 1,638
Other renewables     3     3     3     3     3     3     3     3     3    15    45    50    90","SKIPPED: Hydro-power availability in 2011 was 1,584 (MW or equivalent units shown in the table).","1,401",wrong
which team was the philadelphia soul's next opponent after playing the chicago rush?,"Week        Date            Opponent Home/Away  Result
   1  February 8  New Orleans VooDoo      Home L 42–34
   2 February 15   Dallas Desperados      Away L 51–47
   3 February 21 Columbus Destroyers      Home W 56–34",SKIPPED: The Philadelphia Soul faced the Columbus Destroyers in their next game after playing the Chicago Rush.,Columbus Destroyers,correct
which country won the least medals?,"Rank      Nation Gold Silver Bronze Total
   1       Japan    5      2      0     7
   2       China    4      3      2     9
   3 South Korea    0      3      1     4",SKIPPED: North Korea won the least medals.,North Korea,wrong
what is the total number of the population in 2002?,"  Name Population (2002 census) Population (2007 estimation) Population (2011 census) Area (km²) Density (pop/km²)
Braşov                  283,901                      277,945                  253,200     267.32             1,204
Codlea                   24,256                       24,550                   21,708     132.79               182
Săcele                   30,044                       31,796                   30,798        320                93","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...","399,902",wrong
"in 2007, how many games did the nebraska football team play after falling from the national rankings?","        Date     Time       Opponent# Rank#                           Site   TV  Result Attendance
 September 1  2:30 PM         Nevada*   #19 Memorial Stadium • Lincoln, NE  ABC W 52–10     84,078
 September 8 11:00 AM at Wake Forest*   #17 BB&T Field • Winston-Salem, NC ESPN W 20–17     32,483
September 15  7:00 PM         #1 USC*   #14 Memorial Stadium • Lincoln, NE  ABC L 31–49     84,959","SKIPPED: The data summary showed that the column “Rank#” has 6 missing (NaN) values.  
Those rows correspond to the games after Nebraska dropped out of the national rankings.  

Therefore, in the 2007 season N...",6,wrong
how many racers did not start?,"Pos No         Rider    Bike Laps      Time Grid Points
  1 93  Marc Márquez   Derbi   22 40:46.315    1     25
  2 38 Bradley Smith Aprilia   22    +4.638    3     20
  3 44 Pol Espargaró   Derbi   22    +4.996    2     16",SKIPPED: 1 racer did not start.,1,wrong
what is the first score listed?,"#         Date                                   Venue    Opponent Score Result Competition
1 13 June 2013 Zhejiang Dragon Sports Centre, Hangzhou      Russia 1 – 0  5 – 1    Friendly
2 13 June 2013 Zhejiang Dragon Sports Centre, Hangzhou      Russia 3 – 0  5 – 1    Friendly
3 14 June 2013 Zhejiang Dragon Sports Centre, Hangzhou Netherlands ? – ?  4 – 3    Friendly",SKIPPED: The first score listed in the table is 1 – 0.,1 - 0,wrong
